'dates', 'ACI', 'BI', 'DNSI', 'AEI', 'ADI', 'HS', 'HT', 'SC', 'dBFS'
2021-05-07T01:35:21Z,317.174,16.368,-0.258,0.806,0.895,0.538,1317.246,888.6,-47.111
2021-05-07T01:35:31Z,251.817,7.637,-0.287,0.865,0.467,0.455,956.167,790.104,-51.715
2021-05-07T01:35:41Z,340.422,22.779,0.65,0.652,1.205,0.65,960.626,4205.197,-52.19
2021-05-07T01:35:51Z,343.844,8.443,0.058,0.846,0.62,0.466,1689.179,1368.34,-45.534
2021-05-07T01:36:01Z,337.842,7.806,0.002,0.859,0.513,0.441,1830.738,1161.757,-44.625
2021-05-07T01:36:21Z,329.336,11.786,0.355,0.843,0.502,0.477,974.231,1722.728,-52.059
2021-05-07T01:36:31Z,300.706,12.596,0.135,0.834,0.708,0.487,1141.802,1135.364,-49.86
2021-05-07T01:36:41Z,294.946,12.66,0.008,0.838,0.69,0.491,1308.414,1020.762,-48.475
2021-05-07T01:36:51Z,286.43,7.278,-0.124,0.866,0.458,0.464,1322.407,821.507,-48.617
2021-05-07T01:37:01Z,302.695,8.015,-0.151,0.86,0.493,0.441,1358.118,778.594,-48.282
2021-05-07T01:37:21Z,285.376,4.921,-0.423,0.895,0.118,0.292,1655.061,407.68,-45.182
2021-05-07T01:37:31Z,260.766,17.165,-0.393,0.869,0.45,0.356,1522.966,502.563,-46.747
2021-05-07T01:37:41Z,258.361,16.934,-0.345,0.869,0.456,0.381,1442.601,560.407,-47.481
2021-05-07T01:37:51Z,336.467,23.725,0.367,0.827,0.542,0.444,1842.032,1491.277,-44.88
2021-05-07T01:38:01Z,340.279,23.758,0.384,0.836,0.484,0.468,1980.93,1683.082,-44.301
2021-05-07T01:38:21Z,295.604,24.873,0.478,0.77,0.816,0.483,1380.408,1554.085,-48.226
2021-05-07T01:38:31Z,372.213,21.961,0.533,0.81,0.646,0.637,1918.664,4432.828,-44.185
2021-05-07T01:38:41Z,397.537,22.967,0.497,0.806,0.661,0.615,2233.792,4156.017,-42.647
2021-05-07T01:38:51Z,402.706,23.785,-0.023,0.815,0.744,0.514,1873.755,1964.754,-44.814
2021-05-07T01:39:01Z,281.947,6.469,-0.522,0.869,0.451,0.431,1443.147,690.841,-47.313
2021-05-07T01:39:21Z,348.319,6.845,-0.455,0.893,0.155,0.333,2178.39,509.506,-42.049
2021-05-07T01:39:31Z,292.637,24.694,0.148,0.808,0.836,0.549,1419.798,1574.578,-47.502
2021-05-07T01:39:41Z,279.5,25.666,0.018,0.749,1.128,0.492,2748.851,933.571,-39.962
2021-05-07T01:39:51Z,365.584,28.246,0.131,0.687,1.327,0.589,2668.825,2325.126,-40.237
2021-05-07T01:40:01Z,394.594,30.281,0.631,0.576,1.539,0.89,1594.559,8484.268,-46.479
2021-05-07T01:40:21Z,296.559,10.14,0.323,0.831,0.58,0.442,951.216,1307.519,-51.978
2021-05-07T01:40:31Z,247.374,8.536,0.289,0.879,0.246,0.369,1021.188,826.353,-51.268
2021-05-07T01:40:41Z,239.156,5.235,0.223,0.885,0.271,0.387,851.475,940.096,-53.341
2021-05-07T01:40:51Z,239.011,3.862,0.284,0.887,0.233,0.371,818.417,957.057,-53.792
2021-05-07T01:41:01Z,239.346,9.996,0.103,0.86,0.53,0.443,851.149,1048.433,-53.487
2021-05-07T01:41:21Z,259.655,9.62,0.209,0.856,0.479,0.461,860.571,1244.233,-53.364
2021-05-07T01:41:31Z,277.002,9.073,-0.215,0.844,0.646,0.441,1096.143,873.831,-50.382
2021-05-07T01:41:41Z,280.738,11.115,-0.114,0.834,0.702,0.459,1274.491,1219.203,-48.939
2021-05-07T01:41:51Z,288.321,18.697,0.392,0.678,1.318,0.588,881.838,2863.958,-53.093
2021-05-07T01:42:01Z,293.673,5.04,0.48,0.799,0.759,0.57,741.59,2371.681,-54.917
2021-05-07T01:42:21Z,256.34,9.99,-0.045,0.864,0.454,0.36,1161.132,631.611,-49.495
2021-05-07T01:42:31Z,249.176,12.259,-0.123,0.835,0.708,0.465,1132.034,891.213,-50.26
2021-05-07T01:42:41Z,257.032,14.705,-0.052,0.83,0.722,0.461,1240.261,969.03,-49.394
2021-05-07T01:42:51Z,262.591,21.365,0.425,0.679,1.323,0.573,811.093,1964.666,-53.964
2021-05-07T01:43:01Z,256.492,23.66,0.466,0.674,1.306,0.629,695.389,2247.919,-55.692
2021-05-07T01:43:21Z,259.165,6.866,0.029,0.742,1.202,0.729,653.246,2754.724,-56.433
2021-05-07T01:43:31Z,268.081,10.451,0.238,0.614,1.61,0.781,639.111,3279.624,-56.616
2021-05-07T01:43:41Z,260.392,11.614,0.478,0.623,1.529,0.794,557.046,3688.035,-58.092
2021-05-07T01:43:51Z,245.307,4.085,0.404,0.81,0.834,0.821,477.728,4424.357,-59.798
2021-05-07T01:44:01Z,241.874,11.99,0.552,0.382,2.017,0.834,454.444,5046.296,-60.363
2021-05-07T01:44:21Z,242.424,1.005,0.576,0.219,2.209,0.779,489.6,4377.789,-59.615
2021-05-07T01:44:31Z,242.388,2.318,0.599,0.158,2.254,0.798,473.316,4693.951,-59.958
2021-05-07T01:44:41Z,241.671,3.004,0.631,0.127,2.271,0.838,450.512,5274.544,-60.461
2021-05-07T01:44:51Z,241.579,2.587,0.628,0.14,2.264,0.825,456.928,5086.314,-60.317
2021-05-07T01:45:01Z,242.09,2.361,0.619,0.148,2.258,0.814,461.122,4907.983,-60.226
2021-05-07T01:45:21Z,248.625,1.791,0.536,0.858,0.511,0.766,505.778,4196.976,-59.255
2021-05-07T01:45:31Z,247.864,1.826,0.5,0.856,0.545,0.743,528.998,3886.771,-58.802
2021-05-07T01:45:41Z,241.817,6.198,0.564,0.489,1.824,0.762,503.179,4182.581,-59.332
2021-05-07T01:45:51Z,242.748,6.105,0.629,0.468,1.853,0.815,464.221,4945.43,-60.15
2021-05-07T01:46:01Z,242.837,11.464,0.649,0.141,2.262,0.841,446.936,5329.429,-60.543
2021-05-07T01:46:21Z,241.803,0.799,0.641,0.256,2.167,0.831,458.188,5123.597,-60.289
2021-05-07T01:46:31Z,241.403,1.652,0.638,0.217,2.207,0.824,460.542,5057.533,-60.237
2021-05-07T01:46:41Z,241.994,1.685,0.614,0.225,2.2,0.791,480.448,4615.685,-59.808
2021-05-07T01:46:51Z,242.421,2.963,0.613,0.17,2.244,0.792,479.594,4638.065,-59.826
2021-05-07T01:47:01Z,242.143,3.654,0.618,0.146,2.26,0.803,472.162,4783.135,-59.984
2021-05-07T01:47:21Z,253.854,2.887,0.281,0.887,0.204,0.619,640.569,2464.59,-56.746
